model,version,description,strategy,count,count_with_bertscore,bertscore_mean,bertscore_std,bleu_mean,bleu_std,sari_mean,sari_std,perplexity_mean,perplexity_std,lens_mean,lens_std,fkgl_delta_mean,fkgl_delta_std,fre_delta_mean,fre_delta_std,fkgl_output_mean,fre_output_mean,phase,experiment_group,retrieval
gpt-4o-mini,v1,step 1 - simple prompt engineering,zeroshot,189,189,0.879162740455103,0.0135031589264241,0.0921215860601879,0.0418362295388939,39.6645450136157,3.89309941495029,24.8675417521643,4.91664451919923,74.64548746243,6.44281717605641,-3.79671226343863,1.56981402239657,14.999404924878,6.78943969769484,7.46097261539477,68.3085252419649,PE_v1,PE-v1,none
gpt-4o-mini,v1,step 2 - RAG top k=3,constraint,40,40,0.884512823820114,0.0180685841074405,0.14089949110649,0.0526894884782658,42.4696138198622,4.35304388921855,25.9249855518341,4.82006539829382,66.9529721470682,10.7309649120518,-4.66381992660906,1.50699375764372,17.1963343412877,6.38412744470724,6.88844020248773,69.8351873591637,Open AI RAG v2,OpenAI-RAG-v2,openai
gpt-4o-mini,v2,step 1 - simple prompt engineering,constraint,189,189,0.890152731585124,0.01563953289168,0.150170494793993,0.0618628605486414,43.3891565878716,4.04853873143149,26.6652444001859,5.34987877354695,71.0988173300322,7.35687862715452,-4.61800948403919,1.4331938781493,16.9741537378812,5.93367559209517,6.6396753947942,70.2832740549682,PE_v2,PE-v2,none
gpt-4o-mini,v2,step 1 - simple prompt engineering,structured,189,189,0.878245581079412,0.0136754259450856,0.0897196046349771,0.0488562969278007,39.6718271722589,4.29588589365195,26.3761288627746,5.65443936933067,74.9255086558987,6.39603746346147,-4.41189375773191,1.61550287938614,15.5187918002181,6.98918738782801,6.84579112110148,68.8279121173051,PE_v2,PE-v2,none
gpt-4o-mini,v2,step 1 - simple prompt engineering,zeroshot,189,188,0.881107082709353,0.0215584066760387,0.115830602111091,0.0533639811687842,41.3127487473991,4.57889189457821,24.3698438634264,6.95631383827506,68.0523981607052,8.81181968897901,-4.98647562965085,1.84824789356156,17.9146748537424,8.40585888420167,6.26687152065205,71.2121534487253,PE_v2,PE-v2,none
gpt-4o-mini,v2,step 2 - RAG top k=3,structured,40,40,0.877580893039703,0.0134373255237741,0.0826308165143845,0.0443522419635941,39.0550536290547,4.57229582607776,24.8008199691772,4.66829370889089,73.3877075070727,10.0928370272754,-4.50619535100365,1.47152822947553,16.0248431946837,6.49804112619003,7.04606477809313,68.6636962125596,Open AI RAG v2,OpenAI-RAG-v2,openai
gpt-4o-mini,v2,step 2 - RAG top k=3,zeroshot,40,40,0.873638747632503,0.0258364951736409,0.0997330389299725,0.0524436462560901,40.3047039444095,5.10004454766945,20.6309523582458,4.96504608712323,66.6217789705598,9.89285862294764,-5.0357746015253,1.91371853778033,18.2238384595406,8.64123081993673,6.51648552757148,70.8626914774165,Open AI RAG v2,OpenAI-RAG-v2,openai
gpt-4o-mini,v3,BGE-RAG-full,constraint,40,40,0.891997028887272,0.0141561345452945,0.156030315157885,0.0609607648347306,43.2218996791788,4.32902273480971,27.3506896972656,4.67517815504312,72.4208684704775,5.43684487601815,-4.58091924804135,1.49019128986386,16.6590388978276,5.99928749829101,6.97134088105543,69.2978919157036,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,structured,40,40,0.874294513463974,0.0193376552819639,0.0870032407393688,0.0502283381215533,38.8832658996979,4.96808128485243,40.2303067207336,81.3774674019066,72.2672582133681,13.5082629743031,-4.43656380334614,1.84413918533223,16.0834196935984,8.68656114559231,7.11569632575065,68.7222727114743,BGE RAG v3,BGE-RAG,bge
gpt-4o-mini,v3,BGE-RAG-full,zeroshot,40,40,0.884841218590736,0.0145087423413984,0.114083351799771,0.0511848385720274,40.9412242451829,4.24468814351281,26.4294461250305,5.59853266897193,73.243799381863,6.85604777849233,-4.64946183818181,1.56935099635702,16.4796499956661,6.77297786064268,6.90279829091498,69.1185030135421,BGE RAG v3,BGE-RAG,bge
